epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,63.0603,0.9571,1.19108,0.99943,0.75818,0.6458,0.70764,0.41578,1.37268,1.5955,1.28222,0.000474735,0.000474735,0.000474735
2,93.1163,1.12299,1.14436,1.10125,0.87743,0.5026,0.54199,0.35219,2.26037,2.16272,3.04085,0.000941653,0.000941653,0.000941653
3,123.951,1.12715,1.07038,1.09104,0.58203,0.72796,0.63434,0.40828,1.33098,1.78765,1.3598,0.00139914,0.00139914,0.00139914
4,153.019,1.12294,1.01435,1.12075,0.54982,0.79998,0.72014,0.46711,1.25346,2.74694,1.28498,0.00138656,0.00138656,0.00138656
5,183.007,1.12544,1.09616,1.10317,0.69132,0.77121,0.75209,0.49017,1.15421,1.18737,1.13185,0.00137241,0.00137241,0.00137241
6,213.052,1.03952,0.87382,1.05786,0.79215,0.73342,0.79421,0.48118,1.25663,1.23663,1.16792,0.00135826,0.00135826,0.00135826
7,242.306,1.02473,0.8644,1.03468,0.83619,0.81046,0.86296,0.55102,1.14926,1.04235,1.08976,0.00134412,0.00134412,0.00134412
8,272.391,1.04834,0.8792,1.06453,0.84218,0.77593,0.84932,0.54219,1.1299,0.97048,1.13512,0.00132997,0.00132997,0.00132997
9,301.286,0.97309,0.8091,1.05077,0.80558,0.77234,0.83952,0.57748,1.09125,0.8993,1.08637,0.00131582,0.00131582,0.00131582
10,331.321,0.95259,0.79381,1.02321,0.78988,0.79683,0.8388,0.59009,1.04038,0.92099,1.07432,0.00130168,0.00130168,0.00130168
11,361.716,0.94433,0.79367,1.03066,0.86102,0.79885,0.88244,0.59934,1.06076,0.83813,1.08245,0.00128753,0.00128753,0.00128753
12,393.805,0.86644,0.68349,1.00072,0.89271,0.80002,0.89491,0.6161,1.01652,0.83424,1.07007,0.00127338,0.00127338,0.00127338
13,423.999,0.89184,0.71756,0.99984,0.7408,0.8904,0.82611,0.57042,0.97228,0.84493,1.02225,0.00125923,0.00125923,0.00125923
14,451.941,0.86068,0.68409,0.99409,0.82843,0.83944,0.89335,0.63418,0.97774,0.75651,1.01249,0.00124509,0.00124509,0.00124509
15,481.347,0.88197,0.71112,1.00069,0.81823,0.76033,0.85867,0.62961,0.94778,0.83503,1.01497,0.00123094,0.00123094,0.00123094
16,511.317,0.88289,0.72023,0.99388,0.8366,0.86584,0.89755,0.63439,0.96508,0.77297,1.01705,0.00121679,0.00121679,0.00121679
17,542.524,0.83557,0.641,0.9781,0.83172,0.83227,0.88946,0.63064,0.95527,0.77558,1.02149,0.00120265,0.00120265,0.00120265
18,574.488,0.83612,0.64316,0.9796,0.89351,0.83567,0.92423,0.65241,0.9573,0.71042,1.02587,0.0011885,0.0011885,0.0011885
19,606.251,0.88569,0.76057,0.98414,0.81906,0.84609,0.89101,0.64338,0.95056,0.88702,0.98983,0.00117435,0.00117435,0.00117435
20,634.154,0.82638,0.65611,0.97376,0.84796,0.90504,0.9245,0.66651,0.88842,0.69544,0.98514,0.00116021,0.00116021,0.00116021
21,663.342,0.82175,0.63557,0.98255,0.83236,0.8677,0.89928,0.65035,0.92893,0.71499,1.00687,0.00114606,0.00114606,0.00114606
22,690.909,0.81008,0.63819,0.97238,0.83716,0.90703,0.91787,0.66899,0.88998,0.74167,0.998,0.00113191,0.00113191,0.00113191
23,719.978,0.78822,0.61906,0.96897,0.86935,0.86392,0.9241,0.68149,0.87776,0.69568,0.9916,0.00111776,0.00111776,0.00111776
24,748.931,0.76789,0.632,0.9617,0.84879,0.84934,0.90896,0.67921,0.89854,0.73141,0.9914,0.00110362,0.00110362,0.00110362
25,777.141,0.78408,0.60264,0.97276,0.83286,0.86835,0.9113,0.66998,0.90573,0.75093,0.98697,0.00108947,0.00108947,0.00108947
26,805.028,0.78086,0.60215,0.96963,0.87103,0.92102,0.94559,0.70534,0.84231,0.65231,0.98345,0.00107532,0.00107532,0.00107532
27,834.706,0.73642,0.55856,0.93975,0.87807,0.85277,0.93225,0.70794,0.79377,0.66049,0.96483,0.00106118,0.00106118,0.00106118
28,865.368,0.72671,0.53781,0.93119,0.89501,0.88501,0.9423,0.712,0.82628,0.65422,0.95394,0.00104703,0.00104703,0.00104703
29,899.389,0.73785,0.54231,0.9386,0.92789,0.88639,0.95824,0.74725,0.80358,0.58378,0.94295,0.00103288,0.00103288,0.00103288
30,930.565,0.75004,0.54979,0.95393,0.91396,0.89478,0.95579,0.7365,0.82117,0.68017,0.93262,0.00101873,0.00101873,0.00101873
31,960.073,0.74729,0.56257,0.9453,0.8935,0.84148,0.92205,0.66813,0.89018,0.6606,1.00785,0.00100459,0.00100459,0.00100459
32,989.634,0.72743,0.55434,0.94722,0.87088,0.87721,0.93776,0.71427,0.80745,0.61254,0.9382,0.00099044,0.00099044,0.00099044
33,1022.16,0.695,0.52184,0.92891,0.86255,0.90165,0.93744,0.73594,0.7741,0.60105,0.93117,0.000976293,0.000976293,0.000976293
34,1055.29,0.68576,0.50899,0.91044,0.90079,0.91057,0.95576,0.74673,0.78689,0.57342,0.93912,0.000962146,0.000962146,0.000962146
35,1085.9,0.68818,0.55333,0.925,0.88574,0.89578,0.95022,0.73597,0.81651,0.57681,0.9279,0.000947999,0.000947999,0.000947999
36,1116.7,0.69149,0.52895,0.93728,0.92611,0.89244,0.95639,0.76311,0.74554,0.55127,0.91634,0.000933851,0.000933851,0.000933851
37,1148.42,0.67542,0.50711,0.91139,0.91946,0.87971,0.94742,0.7412,0.77813,0.56392,0.91945,0.000919704,0.000919704,0.000919704
38,1179.6,0.68695,0.52357,0.92615,0.92044,0.88569,0.95439,0.75065,0.75639,0.55349,0.93174,0.000905557,0.000905557,0.000905557
